A2ML_220919_01_02	exer2 98.80 exer3
A2ML_220919_02_02	exer2 149.40 exer3
A2ML_220919_03_02	exer2 162.83 exer3
A2ML_221205_01_02	exer2 169.00 exer3
A2ML_221205_02_02	exer2 113.83 exer3
A2ML_221205_03_02	exer2 138.49 exer3
A2ML_221205_04_02	exer2 92.97 exer3
A2ML_221205_05_02	exer2 116.69 exer3
A2ML_221205_06_02	exer2 158.06 exer3
A2ML_221205_07_02	exer2 111.06 exer3
A2ML_221205_08_02	exer2 146.48 exer3
A2ML_221205_09_02	exer2 79.62 exer3
A2ML_221205_10_02	exer2 100.50 exer3
A2ML_221205_11_02	exer2 93.45 exer3
A2ML_221205_12_02	exer2 106.64 exer3
A2ML_221205_13_02	exer2 106.88 exer3
A2ML_221205_14_02	exer2 110.93 exer3
A2ML_221205_15_02	exer2 89.57 exer3
A2ML_221205_16_02	exer2 105.55 exer3
A2ML_221205_17_02	exer2 107.43 exer3
A2ML_221205_18_02	exer2 125.11 exer3
A2ML_230724_23_02	exer2 213.03 exer3
A2ML_230724_25_02	exer2 275.85 exer3
A2ML_230724_29_02	exer2 243.58 exer3
A2ML_230911_31_02	exer2 227.80 exer3
A2ML_230911_36_02	exer2 244.56 exer3
A2ML_230911_38_02	exer2 250.33 exer3
A2ML_230911_42_02	exer2 186.35 exer3
A2ML_231215_44_01	exer2
A2ML_231215_45_02	exer3
A2ML_231215_50_02	exer2
A2ML_231215_51_02	exer3
A2ML_231215_53_02	exer3
A2ML_231215_54_02	exer2
A2ML_231215_56_02	exer2
A2ML_231215_61_02	exer2
A2ML_231215_63_02	exer2
A2ML_231215_68_02	exer3
A2ML_240119_70_01	exer2
A2ML_240119_70_02	exer3
A2ML_240124_72_01	exer2
A2ML_240124_72_02	exer3
